Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
Microsoft.ADHybridHealthService,services/servicemembers/credentials,Microsoft.ADHybridHealthService/services/servicemembers/credentials/read,Gets the credentials for service authentication.,"During server registration, this api is called to get the credentials for onboarding new servers.",false
Microsoft.ADHybridHealthService,services/servicemembers/datafreshness,Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read,Gets the data freshness status.,"For a given server, this API gets a list of  datatypes that are being uploaded by the servers and the latest time for each upload.",false
Microsoft.ADHybridHealthService,services/servicemembers/exportstatus,Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read,Gets the Sync Export Error details.,Gets the Sync Export Error details for a given Sync Service.,false
Microsoft.ADHybridHealthService,services/servicemembers/metrics,Microsoft.ADHybridHealthService/services/servicemembers/metrics/read,Gets the list of connectors and run profile names.,Gets the list of connectors and run profile names for the given service and service member.,false
Microsoft.ADHybridHealthService,services/servicemembers/metrics/groups,Microsoft.ADHybridHealthService/services/servicemembers/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",false
Microsoft.ADHybridHealthService,services/servicemembers/serviceconfiguration,Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read,Gets service configuration.,Gets service configuration for a given tenant.,false
Microsoft.ADHybridHealthService,services/tenantwhitelisting,Microsoft.ADHybridHealthService/services/tenantwhitelisting/read,Gets feature whitelisting status.,Gets feature whitelisting status for a given tenant.,false
Microsoft.ADHybridHealthService,reports/badpassworduseridipfrequency,Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read,Gets Blob SAS Uri for enqueued report job.,Gets Blob SAS URI containing status and eventual result of newly enqueued report job for frequency of Bad Username/Password attempts per UserId per IPAddress per Day for a given Tenant.,false
Microsoft.ADHybridHealthService,configuration,Microsoft.ADHybridHealthService/configuration/write,Creates a new Tenant.,Creates a Tenant Configuration.,false
Microsoft.ADHybridHealthService,configuration,Microsoft.ADHybridHealthService/configuration/read,Reads Tenant Configuration.,Reads the Tenant Configuration.,false
Microsoft.AlertsManagement,,Microsoft.AlertsManagement/register/action,Subscription Registration Action,Subscription Registration Action,false
Microsoft.AlertsManagement,,Microsoft.AlertsManagement/register/action,Register subscription,Registers the subscription for the Microsoft Alerts Management,false
Microsoft.AlertsManagement,,Microsoft.AlertsManagement/migrateFromSmartDetection/action,Migrate From Smart Detection,Starts an asynchronous migration process of Smart Detection to smart alerts in an Application Insights resource,false
Microsoft.AlertsManagement,alertsMetaData,Microsoft.AlertsManagement/alertsMetaData/read,Read alerts meta data,Get alerts meta data for the input parameter.,false
Microsoft.AlertsManagement,actionRules,Microsoft.AlertsManagement/actionRules/read,Read action rules,Get all the alert processing rules for the input filters.,false
Microsoft.AlertsManagement,actionRules,Microsoft.AlertsManagement/actionRules/write,Write action rule,Create or update alert processing rule in a given subscription,false
Microsoft.AlertsManagement,actionRules,Microsoft.AlertsManagement/actionRules/delete,Delete action rule,Delete alert processing rule in a given subscription.,false
Microsoft.AlertsManagement,alerts,Microsoft.AlertsManagement/alerts/read,Read alerts,Get all the alerts for the input filters.,false
Microsoft.AlertsManagement,alerts,Microsoft.AlertsManagement/alerts/changestate/action,Resolve alerts,Change the state of the alert.,false
Microsoft.AlertsManagement,alerts/history,Microsoft.AlertsManagement/alerts/history/read,Read alert history,Get history of the alert,false
Microsoft.AlertsManagement,alertsSummary,Microsoft.AlertsManagement/alertsSummary/read,Read alerts summary,Get the summary of alerts,false
Microsoft.AlertsManagement,migrateFromSmartDetection,Microsoft.AlertsManagement/migrateFromSmartDetection/read,Get Smart Detection Migration status,Get the status of an asynchronous Smart Detection to smart alerts migration process,false
Microsoft.AlertsManagement,Operations,Microsoft.AlertsManagement/Operations/read,Read operations,Reads the operations provided,false
Microsoft.AlertsManagement,prometheusRuleGroups,Microsoft.AlertsManagement/prometheusRuleGroups/write,Creates or updates the prometheusRuleGroups,Set prometheusRuleGroups,false
Microsoft.AlertsManagement,prometheusRuleGroups,Microsoft.AlertsManagement/prometheusRuleGroups/delete,Deletes the prometheusRuleGroups,Delete prometheusRuleGroups,false
Microsoft.AlertsManagement,prometheusRuleGroups,Microsoft.AlertsManagement/prometheusRuleGroups/read,Read the prometheusRuleGroups,Read prometheusRuleGroups,false
Microsoft.AlertsManagement,resourceHealthAlertRules,Microsoft.AlertsManagement/resourceHealthAlertRules/write,Create Resource Health alert rule,Create or update Resource Health alert rule in a given subscription,false
Microsoft.AlertsManagement,resourceHealthAlertRules,Microsoft.AlertsManagement/resourceHealthAlertRules/read,Read Resource Health alert rules,Get all the Resource Health alert rules for the input filters,false
Microsoft.AlertsManagement,resourceHealthAlertRules,Microsoft.AlertsManagement/resourceHealthAlertRules/delete,Delete Resource Health alert rule,Delete Resource Health alert rule in a given subscription,false
Microsoft.AlertsManagement,smartDetectorAlertRules,Microsoft.AlertsManagement/smartDetectorAlertRules/write,Create Smart Detector alert rule,Create or update Smart Detector alert rule in a given subscription,false
Microsoft.AlertsManagement,smartDetectorAlertRules,Microsoft.AlertsManagement/smartDetectorAlertRules/read,Read Smart Detector alert rules,Get all the Smart Detector alert rules for the input filters,false
Microsoft.AlertsManagement,smartDetectorAlertRules,Microsoft.AlertsManagement/smartDetectorAlertRules/delete,Delete Smart Detector alert rule,Delete Smart Detector alert rule in a given subscription,false
Microsoft.AlertsManagement,smartGroups,Microsoft.AlertsManagement/smartGroups/read,Read smart groups,Get all the smart groups for the input filters,false
Microsoft.AlertsManagement,smartGroups,Microsoft.AlertsManagement/smartGroups/changestate/action,Read smart groups,Change the state of the smart group,false
Microsoft.AlertsManagement,smartGroups/history,Microsoft.AlertsManagement/smartGroups/history/read,Read smart group history,Get history of the smart group,false
Microsoft.AnalysisServices,,Microsoft.AnalysisServices/register/action,Register Analysis Services provider,Registers Analysis Services resource provider.,false
Microsoft.AnalysisServices,locations,Microsoft.AnalysisServices/locations/checkNameAvailability/action,Check availability of the Analysis Server name,Checks that given Analysis Server name is valid and not in use.,false
Microsoft.AnalysisServices,locations/operationresults,Microsoft.AnalysisServices/locations/operationresults/read,Read operation results,Retrieves the information of the specified operation result.,false
